WellId,Well_ColId,Well_RowId,S,T,Z,C,area,centroid-0,centroid-1,max_intensity,mean_intensity,min_intensity,bbox-0,bbox-1,bbox-2,bbox-3
A1,1,1,0,0,0,0,47,90.31914893617021,102.29787234042553,11327.0,9058.68085106383,6679.0,86,99,96,106
A1,1,1,0,0,0,0,105,88.44761904761904,647.447619047619,6595.0,4861.8761904761905,3076.0,85,638,94,657
A1,1,1,0,0,0,0,60,91.53333333333333,270.6,8505.0,6929.85,5122.0,86,268,99,275
A1,1,1,0,0,0,0,216,96.14351851851852,737.2083333333334,4663.0,3567.2824074074074,2787.0,88,728,105,747
A1,1,1,0,0,0,0,51,96.66666666666667,465.72549019607845,8399.0,6521.156862745098,5092.0,93,462,101,471
A1,1,1,0,0,0,0,62,99.54838709677419,347.69354838709677,9458.0,8075.112903225807,5905.0,93,345,107,351
A1,1,1,0,0,0,0,70,101.15714285714286,246.54285714285714,12302.0,10749.457142857143,7873.0,95,242,108,253
A1,1,1,0,0,0,0,166,102.32530120481928,677.210843373494,4805.0,3935.0,3046.0,96,670,110,685
A1,1,1,0,0,0,0,77,101.94805194805195,388.27272727272725,6846.0,5643.467532467533,4703.0,97,384,108,393
A1,1,1,0,0,0,0,115,104.4695652173913,950.3826086956522,7475.0,5181.973913043478,3399.0,100,943,110,958
A1,1,1,0,0,0,0,61,106.65573770491804,455.5245901639344,8622.0,7610.836065573771,6204.0,101,452,113,461
A1,1,1,0,0,0,0,52,108.8076923076923,51.80769230769231,8834.0,7891.2307692307695,5783.0,105,48,114,57
A1,1,1,0,0,0,0,97,111.3917525773196,665.2886597938144,3736.0,3114.226804123711,2481.0,106,660,118,672
A1,1,1,0,0,0,0,79,112.58227848101266,13.0,8150.0,6510.860759493671,4077.0,108,7,118,20
A1,1,1,0,0,0,0,77,113.75324675324676,73.54545454545455,7932.0,6311.350649350649,4734.0,109,69,120,79
A1,1,1,0,0,0,0,101,114.24752475247524,438.38613861386136,6043.0,4724.217821782178,3701.0,109,432,120,445
A1,1,1,0,0,0,0,87,115.04597701149426,599.448275862069,7496.0,5550.64367816092,4079.0,109,595,122,605
A1,1,1,0,0,0,0,133,118.15037593984962,569.2781954887218,9511.0,7414.932330827068,5240.0,110,564,127,575
