WellId,Well_ColId,Well_RowId,S,T,Z,C,area,centroid-0,centroid-1,max_intensity,mean_intensity,min_intensity,bbox-0,bbox-1,bbox-2,bbox-3
A1,1,1,0,0,0,0,757,16.13870541611625,361.2589167767503,1905.0,1249.1677675033025,679.0,4,341,31,382
A1,1,1,0,0,0,0,850,24.78,1802.5564705882352,2723.0,1961.0611764705882,1016.0,7,1786,43,1818
A1,1,1,0,0,0,0,655,24.317557251908397,1555.909923664122,3875.0,2425.3969465648856,1365.0,8,1544,42,1569
A1,1,1,0,0,0,0,776,26.62757731958763,252.02963917525773,1387.0,937.7603092783505,469.0,10,236,45,269
A1,1,1,0,0,0,0,398,24.173366834170853,910.7412060301508,2020.0,1422.9070351758794,682.0,12,900,39,921
A1,1,1,0,0,0,0,526,27.20152091254753,879.7433460076046,988.0,587.6273764258555,342.0,14,867,42,892
A1,1,1,0,0,0,0,872,33.596330275229356,341.2282110091743,1864.0,1118.4793577981652,625.0,16,321,51,362
A1,1,1,0,0,0,0,457,30.86433260393873,942.0240700218818,1901.0,1271.1684901531728,606.0,16,933,48,953
A1,1,1,0,0,0,0,673,31.898959881129272,1664.4635958395245,3209.0,2203.0267459138186,1341.0,16,1650,49,1680
A1,1,1,0,0,0,0,222,29.14864864864865,419.8063063063063,3714.0,2879.4324324324325,1566.0,22,409,37,431
A1,1,1,0,0,0,0,538,37.67100371747212,468.1710037174721,1814.0,1033.7565055762082,520.0,25,452,51,482
A1,1,1,0,0,0,0,670,45.950746268656715,1404.810447761194,2203.0,1431.1164179104478,842.0,28,1393,65,1416
A1,1,1,0,0,0,0,742,44.83827493261455,1147.6752021563343,1954.0,1244.9016172506738,676.0,32,1128,58,1166
A1,1,1,0,0,0,0,368,41.82065217391305,143.81521739130434,1643.0,1158.3125,671.0,33,131,52,158
A1,1,1,0,0,0,0,498,48.38755020080321,866.1345381526104,870.0,553.1626506024096,359.0,34,854,62,879
A1,1,1,0,0,0,0,518,45.41119691119691,1002.3822393822394,1541.0,1028.7451737451738,568.0,36,986,57,1021
A1,1,1,0,0,0,0,956,54.40167364016737,1882.2259414225941,1182.0,811.5366108786611,511.0,35,1866,75,1900
A1,1,1,0,0,0,0,775,60.340645161290325,190.63225806451612,2385.0,1595.316129032258,821.0,39,178,81,204
A1,1,1,0,0,0,0,564,54.10992907801418,401.81382978723406,1543.0,934.2287234042553,484.0,39,388,70,417
A1,1,1,0,0,0,0,771,57.51491569390402,1751.9740596627755,3184.0,2218.9740596627757,1215.0,44,1734,71,1771
A1,1,1,0,0,0,0,451,65.01330376940133,973.4966740576497,1299.0,852.0554323725055,505.0,49,965,81,984
A1,1,1,0,0,0,0,714,64.93697478991596,1044.8389355742297,1759.0,1196.5644257703082,716.0,49,1031,82,1060
A1,1,1,0,0,0,0,425,66.79058823529412,15.630588235294118,1295.0,1005.2141176470589,699.0,50,8,84,24
A1,1,1,0,0,0,0,640,64.0875,471.490625,1179.0,780.26875,435.0,51,457,79,486
A1,1,1,0,0,0,0,866,64.05196304849885,1625.2505773672056,2963.0,2025.2944572748268,1058.0,51,1606,79,1646
A1,1,1,0,0,0,0,736,65.13722826086956,1259.0733695652175,3215.0,1977.9239130434783,912.0,53,1242,81,1278
A1,1,1,0,0,0,0,659,70.61608497723824,1670.308042488619,3700.0,2177.7799696509865,994.0,57,1655,84,1687
A1,1,1,0,0,0,0,874,72.49427917620137,271.2173913043478,1274.0,900.487414187643,569.0,58,254,89,291
A1,1,1,0,0,0,0,1045,74.72727272727273,1200.4928229665072,1582.0,978.3789473684211,579.0,58,1180,94,1221
A1,1,1,0,0,0,0,470,74.00425531914894,939.1595744680851,1566.0,891.8574468085106,413.0,62,927,87,951
A1,1,1,0,0,0,0,784,75.80739795918367,1802.154336734694,3270.0,2324.315051020408,1148.0,62,1784,90,1821
A1,1,1,0,0,0,0,410,77.59024390243903,223.68536585365854,1185.0,766.1634146341463,486.0,63,215,93,233
A1,1,1,0,0,0,0,971,81.89804325437693,820.8208032955715,2017.0,1283.3213182286304,813.0,66,801,98,841
A1,1,1,0,0,0,0,1122,89.78163992869875,1461.24064171123,2642.0,1814.0864527629233,1135.0,65,1441,117,1480
A1,1,1,0,0,0,0,511,84.09001956947162,144.90215264187867,1475.0,1021.9530332681018,642.0,68,135,103,155
A1,1,1,0,0,0,0,609,83.83908045977012,424.51724137931035,1239.0,908.2594417077175,548.0,68,413,100,438
A1,1,1,0,0,0,0,576,90.11458333333333,53.545138888888886,1275.0,910.9722222222222,516.0,72,40,108,66
A1,1,1,0,0,0,0,304,84.85855263157895,168.84868421052633,2289.0,1477.858552631579,784.0,74,160,96,179
A1,1,1,0,0,0,0,723,90.70954356846472,718.9460580912863,2244.0,1405.9349930843707,750.0,76,703,107,736
A1,1,1,0,0,0,0,518,93.52895752895753,908.2818532818533,1510.0,884.5057915057915,476.0,80,897,108,922
A1,1,1,0,0,0,0,766,96.53785900783289,1771.7441253263707,2699.0,1900.0587467362925,1222.0,80,1755,116,1788
A1,1,1,0,0,0,0,91,90.73626373626374,398.53846153846155,5120.0,4273.153846153846,3001.0,84,394,98,404
A1,1,1,0,0,0,0,582,98.7491408934708,1567.6941580756013,5588.0,3487.216494845361,1605.0,85,1555,115,1583
A1,1,1,0,0,0,0,767,100.14080834419818,1174.122555410691,1771.0,1156.851368970013,747.0,86,1154,113,1192
A1,1,1,0,0,0,0,1075,111.02883720930232,875.9860465116279,781.0,475.15441860465114,251.0,92,856,128,898
